sample_id,frame_id,key_dis,urdf_id,num_points,num_kp,ini_base_r,ini_child_r,ini_base_t,ini_child_t,new_base_r,new_child_r,new_base_t,new_child_t,cam_base_r,cam_child_r,cam_base_t,cam_child_t
0,0,0,10040,1024,8,2.9722967116920787,6.2390669741781295,0.012797731,0.08387620967493391,0.0,0.019782341029446364,1.2904407076248743e-07,1.6253865703844002e-07,0.0,0.0,3.585564753649318e-08,2.5522918288401563e-08
1,1,1,10040,1024,8,6.537170572868123,34.86258721078046,0.0711871,0.2920433157048604,4.0484464881941715,4.997307866398001,0.051792594218371193,0.05558274685117837,4.067375056236158,5.010611552447654,0.058942563377583156,0.06372488575313587
2,2,2,10040,1024,8,5.40058500227447,76.84360392756294,0.14850461,0.6969876451674661,5.187924614341755,6.157178809659998,0.045277496113865084,0.037210974324427916,5.192343520015384,6.1663135966806255,0.04356230823067629,0.03809608700115684
3,3,3,10040,1024,8,3.8093031235732755,11.438717142790514,0.09892776,0.11330327797663088,7.420973348786167,5.237981924679823,0.04596270575748444,0.044451133113347356,7.411801610268822,5.184511037328819,0.04872248200450754,0.04702998245605309
4,4,4,10040,1024,8,6.152878314358309,32.750193389082824,0.10913794,0.3186601839671548,7.185348010213211,9.524229975281862,0.07487323801877216,0.047575762137898235,7.196906576197193,9.522386606922446,0.06877284550421571,0.05914424760419691
5,5,5,10040,1024,8,6.179585215124174,81.58689702761387,0.07812706,0.713054447352786,6.093561622157436,11.008200544824874,0.05647819632439569,0.050858462093718304,6.173562836648071,11.133584427015009,0.05388730603713444,0.06955969712962368
6,6,1,10040,1024,8,7.940378683732421,61.315677964579955,0.12665617,0.6349419679244265,10.991522685125398,10.527480758755624,0.08569573385783645,0.03120959408273367,10.99888654427485,10.673194106945965,0.08354761488316681,0.04644817129920933
7,7,2,10040,1024,8,6.579807894685242,67.08112523507444,0.030428054,0.6019766707058603,10.421476204920022,8.82430676961112,0.10691313223886141,0.05466114878800825,10.409928311893662,8.829865953536295,0.10800696173326267,0.04724025692969242
8,8,3,10040,1024,8,4.434823452147403,70.03474275164032,0.14437656,0.593181211509323,3.4011681812292904,11.183210256829017,0.09789916858434934,0.03862542773595784,3.4728827691353383,11.285561124371787,0.09995333284259751,0.04665487858769898
9,9,4,10040,1024,8,3.8284801490816847,19.391770540215617,0.13918121,0.10311052205505537,6.210742413254275,13.36771947725302,0.11134183294692299,0.05814793221230434,6.273601245520457,13.529085957462929,0.11361464304100044,0.09576352054599975
10,10,5,10040,1024,8,5.448343314733045,154.183168617434,0.038995262,1.1113440131128043,6.286774030734586,19.51036979929786,0.11426413877221464,0.1886787042584873,6.312267152507487,19.48301702435284,0.11486500467917399,0.20159253383045625
