key_dis,count,failure_rate_gt_10deg,failure_rate_gt_20deg,failure_rate_gt_30deg
0,13,0.0,0.0,0.0
1,78,0.6538461538461539,0.07692307692307693,0.01282051282051282
2,78,0.5769230769230769,0.1282051282051282,0.038461538461538464
3,78,0.7435897435897436,0.23076923076923078,0.07692307692307693
4,65,0.7384615384615385,0.24615384615384617,0.09230769230769231
5,65,0.8615384615384616,0.4,0.13846153846153847
