sample_id,frame_id,key_dis,urdf_id,ini_child_r,new_child_r,cam_child_r
189,15,5,10040,150.00918741797958,54.082619401237096,53.88061991520964
188,14,4,10040,94.7580570356184,47.408242020968615,46.57696474707465
194,20,5,10040,71.61229550850643,45.19467089455875,45.83342683595198
187,13,3,10040,93.4232263792668,45.01318046273296,44.26045808896542
286,25,5,10040,176.18037189511494,42.4347952763587,42.67537766497624
186,12,2,10040,117.83561278077347,40.53823602727388,40.33622800141752
15,15,5,10040,176.17867403476382,38.31393761647064,38.50954060910387
192,18,3,10040,166.9266799787582,37.99307520142753,37.87116798585378
375,27,2,10040,47.45900592106182,37.81563358502937,37.99871811216165
14,14,4,10040,177.95657215535962,36.186528027316506,35.85717730802291
